tile_h,tile_v,area,perimeter
"165","5016",980100,3960
"165","5049",980100,3960
"165","5082",980100,3960
"165","5115",980100,3960
"165","5148",980100,3960
"165","5181",980100,3960
"165","5214",980100,3960
"165","5247",980100,3960
"165","5280",980100,3960
"165","5313",980100,3960
"165","5346",980100,3960
"165","5379",980100,3960
"165","5412",980100,3960
"165","5445",980100,3960
"165","5478",980100,3960
"165","5511",980100,3960
"165","5544",980100,3960
"165","5577",980100,3960
"165","5610",980100,3960
"165","5643",980100,3960
"165","5676",980100,3960
"165","5709",980100,3960
"165","5742",980100,3960
"198","4950",980100,3960
"198","4983",980100,3960
"198","5016",980100,3960
"198","5049",980100,3960
"198","5082",980100,3960
"198","5115",980100,3960
"198","5148",980100,3960
"198","5181",980100,3960
"198","5214",980100,3960
"198","5247",980100,3960
"198","5280",980100,3960
"198","5313",980100,3960
"198","5346",980100,3960
"198","5379",980100,3960
"198","5412",980100,3960
"198","5445",980100,3960
"198","5478",980100,3960
"198","5511",980100,3960
"198","5544",980100,3960
"198","5577",980100,3960
"198","5610",980100,3960
"198","5643",980100,3960
"198","5676",980100,3960
"198","5709",980100,3960
"198","5742",980100,3960
"231","4917",980100,3960
"231","4950",980100,3960
"231","4983",980100,3960
"231","5016",980100,3960
"231","5049",980100,3960
"231","5082",980100,3960
"231","5115",980100,3960
"231","5148",980100,3960
"231","5181",980100,3960
"231","5214",980100,3960
"231","5247",980100,3960
"231","5280",980100,3960
"231","5313",980100,3960
"231","5346",980100,3960
"231","5379",980100,3960
"231","5412",980100,3960
"231","5445",980100,3960
"231","5478",980100,3960
"231","5511",980100,3960
"231","5544",980100,3960
"231","5577",980100,3960
"231","5610",980100,3960
"231","5643",980100,3960
"231","5676",980100,3960
"231","5709",980100,3960
"231","5742",980100,3960
"264","4785",980100,3960
"264","4818",980100,3960
"264","4851",980100,3960
"264","4884",980100,3960
"264","4917",980100,3960
"264","4950",980100,3960
"264","4983",980100,3960
"264","5016",980100,3960
"264","5049",980100,3960
"264","5082",980100,3960
"264","5115",980100,3960
"264","5148",980100,3960
"264","5181",980100,3960
"264","5214",980100,3960
